Date,Closing,Open,High,Low
17-Sep-13,111.05,114.75,114.75,111.1
18-Sep-13,111.3,111.8,111.8,111.8
18-Sep-13,111.3,111.8,111.8,111.8
19-Sep-13,115.8,116,116.7,115.3
19-Sep-13,115.8,116,116.7,115.3
20-Sep-13,114.65,115.6,115.9,114.2
20-Sep-13,114.65,115.6,115.9,114.2
23-Sep-13,117.05,114.65,117.45,114.65
23-Sep-13,117.05,114.65,117.45,114.65
24-Sep-13,117.85,117.05,118.4,117
24-Sep-13,117.85,117.05,118.4,117
25-Sep-13,117.25,117.5,119.2,117.05
25-Sep-13,117.25,117.5,119.2,117.05
26-Sep-13,115.65,117.2,117.45,114.8
26-Sep-13,115.65,117.2,117.45,114.8
27-Sep-13,113.7,115.8,115.9,113.5
27-Sep-13,113.7,115.8,115.9,113.5
30-Sep-13,113.7,113.65,114.8,113.5
30-Sep-13,113.7,113.65,114.8,113.5
1-Oct-13,114.1,113.9,114.7,113.2
1-Oct-13,114.1,113.9,114.7,113.2
2-Oct-13,114.45,114.5,115.5,114.1
2-Oct-13,114.45,114.5,115.5,114.1
3-Oct-13,115.35,114.45,116.2,114.2
3-Oct-13,115.35,114.45,116.2,114.2
4-Oct-13,114.4,115.15,116,113.9
4-Oct-13,114.4,115.15,116,113.9
7-Oct-13,114.5,114.4,114.75,113.5
7-Oct-13,114.5,114.4,114.75,113.5
8-Oct-13,115.05,114.4,115.35,113.85
8-Oct-13,115.05,114.4,115.35,113.85
9-Oct-13,115.25,114.75,115.8,114.45
9-Oct-13,115.25,114.75,115.8,114.45
10-Oct-13,114.4,115.15,117.95,114.15
10-Oct-13,114.4,115.15,117.95,114.15
11-Oct-13,116.7,114.35,116.95,114.25
11-Oct-13,116.7,114.35,116.95,114.25
14-Oct-13,117,116.7,117.5,116.15
14-Oct-13,117,116.7,117.5,116.15
15-Oct-13,116.45,117,117.65,115.1
15-Oct-13,116.45,117,117.65,115.1
16-Oct-13,115.85,116.5,117.5,115.65
16-Oct-13,115.85,116.5,117.5,115.65
17-Oct-13,114.7,116.05,116.35,114.25
17-Oct-13,114.7,116.05,116.35,114.25
18-Oct-13,114.65,114.4,115.1,114.05
18-Oct-13,114.65,114.4,115.1,114.05
21-Oct-13,112.7,114.4,114.7,112.3
21-Oct-13,112.7,114.4,114.7,112.3
22-Oct-13,111.95,113.35,113.35,111.85
22-Oct-13,111.95,113.35,113.35,111.85
23-Oct-13,110.55,111.85,112.5,110.5
23-Oct-13,110.55,111.85,112.5,110.5
24-Oct-13,110.3,110.5,111.85,109.5
24-Oct-13,110.3,110.5,111.85,109.5
25-Oct-13,109.1,110.3,111.45,108.8
25-Oct-13,109.1,110.3,111.45,108.8
28-Oct-13,107.55,109,109.2,106.9
28-Oct-13,107.55,109,109.2,106.9
29-Oct-13,106.95,106.6,107.85,106.6
29-Oct-13,106.95,106.6,107.85,106.6
30-Oct-13,106.85,107.05,107.8,106.65
30-Oct-13,106.85,107.05,107.8,106.65
31-Oct-13,105.4,107,107.3,105.25
31-Oct-13,105.4,107,107.3,105.25
1-Nov-13,105.55,105.4,106.05,104.25
1-Nov-13,105.55,105.4,106.05,104.25
4-Nov-13,103.7,105.6,106.2,103.35
4-Nov-13,103.7,105.6,106.2,103.35
5-Nov-13,103.45,103.7,104.15,102.85
6-Nov-13,101.5,103.5,103.75,101
7-Nov-13,103.95,101.5,105.2,100.95
7-Nov-13,103.95,101.5,105.2,100.95
8-Nov-13,104.05,103.8,104.7,102.85
8-Nov-13,104.05,103.8,104.7,102.85
11-Nov-13,103.25,104.1,106.95,103.05
12-Nov-13,105.8,103.5,106,103.25
12-Nov-13,105.8,103.5,106,103.25
13-Nov-13,103.05,105.8,106.35,102.5
14-Nov-13,102.6,103.1,104.45,102.15
15-Nov-13,105.75,102.8,106.4,102.7
15-Nov-13,105.75,102.8,106.4,102.7
18-Nov-13,105.75,105.85,106.75,105
18-Nov-13,105.75,105.85,106.75,105
19-Nov-13,104.65,105.8,106.4,104.45
19-Nov-13,104.65,105.8,106.4,104.45
20-Nov-13,107.35,104.3,107.65,104.3
20-Nov-13,107.35,104.3,107.65,104.3
21-Nov-13,110.45,107.7,110.85,107.7
21-Nov-13,110.45,107.7,110.85,107.7
22-Nov-13,107.1,110.65,111.85,107
22-Nov-13,107.1,110.65,111.85,107
24-Nov-13,107.28,107.28,107.28,107.28
24-Nov-13,107.28,107.28,107.28,107.28
25-Nov-13,108.1,107.7,108.4,106.05
25-Nov-13,108.1,107.7,108.4,106.05
26-Nov-13,108.15,108.1,109.05,107.6
26-Nov-13,108.15,108.1,109.05,107.6
27-Nov-13,107.6,108.95,109,107
27-Nov-13,107.6,108.95,109,107
29-Nov-13,110.25,108,109.8,108
29-Nov-13,110.25,108,109.8,108
2-Dec-13,109.4,109.8,110.5,108.45
2-Dec-13,109.4,109.8,110.5,108.45
3-Dec-13,109.55,108.75,109.95,108.15
3-Dec-13,109.55,108.75,109.95,108.15
4-Dec-13,107.8,109.8,109.95,107.6
4-Dec-13,107.8,109.8,109.95,107.6
5-Dec-13,105.4,108,108,105.5
5-Dec-13,105.4,108,108,105.5
6-Dec-13,105.8,106.05,106.05,106.05
6-Dec-13,105.8,106.05,106.05,106.05
9-Dec-13,105.5,106.3,106.3,106.05
9-Dec-13,105.5,106.3,106.3,106.05
10-Dec-13,109.65,106.75,109.95,106.75
10-Dec-13,109.65,106.75,109.95,106.75
11-Dec-13,109.1,110,110.15,108.95
11-Dec-13,109.1,110,110.15,108.95
12-Dec-13,110.7,109.5,110.3,109.5
12-Dec-13,110.7,109.5,110.3,109.5
13-Dec-13,114.5,111.7,114,111.15
13-Dec-13,114.5,111.7,114,111.15
16-Dec-13,114.7,115.35,115.35,115.35
16-Dec-13,114.7,115.35,115.35,115.35
17-Dec-13,113.55,115,115,114
17-Dec-13,113.55,115,115,114
18-Dec-13,115.1,114.4,114.4,114.4
18-Dec-13,115.1,114.4,114.4,114.4
19-Dec-13,113.75,115.9,116.25,113.1
19-Dec-13,113.75,115.9,116.25,113.1
20-Dec-13,115.3,113.75,116.7,113.55
20-Dec-13,115.3,113.75,116.7,113.55
23-Dec-13,115.85,115,117.5,115
23-Dec-13,115.85,115,117.5,115
24-Dec-13,114.75,115.85,116.8,114.05
24-Dec-13,114.75,115.85,116.8,114.05
26-Dec-13,115.45,114.95,116.5,114.95
26-Dec-13,115.45,114.95,116.5,114.95
27-Dec-13,116.35,115.6,118.4,115.55
27-Dec-13,116.35,115.6,118.4,115.55
30-Dec-13,114.7,116.35,117.45,114.25
30-Dec-13,114.7,116.35,117.45,114.25
31-Dec-13,110.7,114.6,114.85,110.55
31-Dec-13,110.7,114.6,114.85,110.55
1-Jan-14,110.63,110.63,110.63,110.63
2-Jan-14,111.4,111.05,112.3,110.2
3-Jan-14,116.35,111.5,116.55,111.2
6-Jan-14,121,116.5,121.45,115.7
7-Jan-14,117.25,121.5,122.6,116.65
8-Jan-14,120.9,117.55,121.5,117.55
9-Jan-14,119.35,120.9,121.5,118.3
10-Jan-14,120.65,118.55,120.9,117.85
13-Jan-14,119.85,120.35,121.05,118.75
14-Jan-14,119.2,119.75,120.5,118.15
15-Jan-14,117.2,118.8,119.2,115.95
16-Jan-14,118.35,117.5,119.75,117.35
17-Jan-14,117.15,118,118.1,116.3
21-Jan-14,116.2,117.15,118.55,114.7
22-Jan-14,114.85,115.9,116,114.25
23-Jan-14,115.2,114.95,116.6,114.6
24-Jan-14,114.4,115.1,115.1,113.65
27-Jan-14,113.85,114.2,117.75,113.15
28-Jan-14,114.65,113.5,114.85,113.3
29-Jan-14,117.1,114.7,117.7,113.7
30-Jan-14,120,117.3,120.55,117.15
31-Jan-14,125.2,120.2,125.95,120
3-Feb-14,135.95,125,136.4,125
4-Feb-14,136.25,135.95,137.95,133.05
5-Feb-14,143.1,136.25,143.7,134.25
6-Feb-14,135.75,142.6,144.15,134.8
7-Feb-14,135.7,135.1,142.75,132.05
10-Feb-14,136.2,133.95,138.2,132.9
11-Feb-14,137.15,136.65,138.5,135.5
12-Feb-14,141.05,136.6,141.65,135.5
13-Feb-14,139.7,141.55,142.75,136.35
14-Feb-14,139.9,137.9,140.6,137.2
18-Feb-14,152.65,140.05,154.35,138.75
19-Feb-14,171.75,152.9,172.9,150.85
20-Feb-14,168.8,172.4,175.7,161.8
21-Feb-14,168.55,169.3,172.5,167.8
24-Feb-14,175.6,169.45,178.35,169.45
25-Feb-14,175.65,174.8,180.35,173.2
26-Feb-14,177.1,177.25,177.4,171.65
27-Feb-14,178.75,177.55,179.95,176.7
28-Feb-14,179.8,178.35,179.8,176.55
3-Mar-14,192.6,180.55,191,177.1
4-Mar-14,185.15,194.9,194.9,184.9
5-Mar-14,200.65,185,200.9,181.5
6-Mar-14,194.8,200.65,200.65,192.9
7-Mar-14,196.05,198,198,197
10-Mar-14,202.5,201.5,202.3,201.5
11-Mar-14,205.05,206.65,207.55,206.5
12-Mar-14,204.8,203.8,203.8,201.8
13-Mar-14,205.05,206.05,206.05,205.55
14-Mar-14,197.85,200.5,201.35,200.5
17-Mar-14,189.9,195.35,195.5,191.2
18-Mar-14,190.95,191.6,191.85,191
19-Mar-14,185.1,191.2,191.2,184.1
20-Mar-14,174.15,184.15,184.35,172.55
21-Mar-14,171.15,173,175.6,168.5
24-Mar-14,176.4,171.15,177.55,166
25-Mar-14,175.3,177,177.3,173.65
26-Mar-14,176,175,179.4,172.15
27-Mar-14,176.35,175.5,176.8,173.6
28-Mar-14,180.6,176.7,181.05,176.4
31-Mar-14,177.9,180.6,180.9,174.15
1-Apr-14,175.25,177,178.95,174.25
2-Apr-14,172.7,174,178.3,167.9
3-Apr-14,174.6,172.5,175,170.85
4-Apr-14,185,175.6,185.4,175.25
7-Apr-14,193.35,185.8,196.8,185.55
8-Apr-14,196.5,194.35,202.8,194.3
9-Apr-14,199.85,195.15,200.25,190.15
10-Apr-14,206.1,199.95,207.8,199.95
11-Apr-14,201.2,206,208.65,199.85
14-Apr-14,204.85,199.8,205.3,195
15-Apr-14,192.15,205.85,207.4,191.65
16-Apr-14,185.95,192,199.4,185.6
17-Apr-14,201.2,187.2,201.55,186.9
21-Apr-14,196.7,202,203,196.15
22-Apr-14,211.8,197.1,213.2,197
23-Apr-14,212.35,211.85,215.7,210.2
24-Apr-14,212.45,210.3,212.95,206.1
25-Apr-14,204.75,210.5,210.5,203
28-Apr-14,198.8,203.35,203.75,198.25
29-Apr-14,208.9,200.9,208.9,192.4
30-Apr-14,203.05,207,208.4,200.9
1-May-14,201.45,203.95,203.95,202.95
2-May-14,200.6,202,202,201.8
5-May-14,202.4,197.4,197.4,197.4
6-May-14,199.55,203.1,203.1,200.4
7-May-14,198.4,198.95,199.85,198.95
8-May-14,192.95,198.4,198.4,193.8
9-May-14,180.8,192.45,192.45,183.65
11-May-14,184.85,184.85,184.85,184.85
12-May-14,186.1,182.4,182.4,182.4
13-May-14,187.07,190.48,190.98,186.32
14-May-14,180.75,182,182.05,180.95
15-May-14,194.15,182.5,194.25,182.5
